Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,null,null,null,null,null,null
2018-01-01,14.160000,16.260000,13.990000,15.430000,15.335672,30890600
2018-02-01,15.300000,16.180000,14.130000,15.550000,15.454939,24208900
2018-03-01,15.460000,16.530001,14.260000,15.230000,15.136894,26709500
2018-04-01,15.370000,16.799999,15.290000,15.950000,15.852493,22833200
2018-05-01,15.850000,16.200001,14.910000,15.470000,15.403605,21180200
2018-06-01,15.440000,16.200001,13.540000,13.630000,13.571503,26867600
2018-07-01,13.450000,13.990000,12.320000,13.740000,13.681030,23164100
2018-08-01,13.690000,13.920000,11.670000,12.590000,12.535966,21028600
2018-09-01,12.400000,13.830000,12.070000,13.410000,13.352447,22820700
2018-10-01,13.340000,14.550000,12.440000,13.840000,13.780602,26186500
2018-11-01,13.980000,14.950000,13.460000,14.140000,14.079314,24798700
2018-12-01,14.420000,16.530001,14.240000,15.410000,15.410000,24278800
2018-12-20,15.900000,16.405001,15.840000,16.350000,16.350000,3828566
