Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,144.479996,148.070007,142.820007,145.979996,145.979996,19473200
2018-11-21,149.059998,151.479996,148.649994,149.410004,149.410004,14718600
2018-11-23,147.300003,151.169998,147.000000,150.330002,150.330002,7437500
2018-11-26,153.210007,156.529999,152.369995,156.009995,156.009995,16131300
2018-11-27,154.639999,157.940002,153.580002,156.460007,156.460007,17911800
2018-11-28,159.009995,159.800003,155.259995,159.339996,159.339996,20767100
2018-11-29,158.080002,159.000000,153.539993,156.279999,156.279999,20532200
2018-11-30,157.899994,160.860001,156.720001,160.860001,160.860001,35071200
2018-12-03,168.639999,168.800003,163.509995,163.740005,163.740005,31174000
2018-12-04,164.880005,164.979996,156.460007,158.339996,158.339996,22198600
2018-12-06,153.000000,155.869995,150.509995,155.830002,155.830002,25335500
2018-12-07,155.399994,158.050003,151.729996,153.059998,153.059998,17447900
2018-12-10,150.389999,152.809998,147.479996,151.429993,151.429993,15525500
2018-12-11,155.259995,156.240005,150.899994,151.830002,151.830002,13651900
2018-12-12,155.240005,156.169998,151.429993,151.500000,151.500000,16619200
2018-12-13,153.050003,153.460007,150.520004,151.479996,151.479996,12255800
2018-12-14,147.710007,150.699997,145.720001,149.000000,149.000000,15560700
2018-12-17,146.500000,147.940002,142.240005,143.979996,143.979996,15788100
2018-12-18,144.279999,144.750000,140.110001,140.820007,140.820007,17846600
2018-12-19,141.039993,141.324997,135.729996,137.139999,137.139999,27641800
2018-12-20,135.830002,137.729996,132.910004,134.789993,134.789993,22902042
